4400670.5635,474806.663067
4400671.06406,474806.65957
4400671.59971,474806.674892
4400672.1661,474806.680178
4400672.74124,474806.723613
4400673.26063,474806.788139
4400673.77406,474806.866065
4400674.31845,474807.034469
4400674.84855,474807.21996
4400675.2601,474807.565967
4400675.66796,474807.965502
4400676.13221,474808.486723
4400676.41641,474808.970231
4400676.6848,474809.480672
4400676.97388,474809.943638
4400677.31581,474810.369655
4400677.62081,474810.885356
4400678.08455,474811.618023
4400678.50631,474811.895817
4400678.92552,474812.275686
4400679.51668,474812.622996
4400680.06114,474812.603367
4400680.56311,474812.734225
4400681.06049,474812.799963
4400681.54277,474812.616939
4400682.06626,474812.561262
4400682.60339,474812.462655
4400683.0092,474812.019674
4400683.50412,474811.70891
4400684.01172,474811.475856
4400684.46715,474811.076442
4400684.87236,474810.649308
4400685.25088,474810.239076
4400685.47296,474809.700692
4400685.71774,474809.176373
4400685.92421,474808.658497
4400686.0195,474807.918813
4400686.01579,474807.358129
4400685.94345,474806.853615
4400685.7906,474806.138673
4400685.54322,474805.650432
4400685.25264,474805.195029
4400684.83104,474804.586857
4400684.4237,474804.252857
4400684.01392,474803.93127
4400683.44422,474803.583173
4400682.91299,474803.348279
4400682.43166,474803.185365
4400681.79374,474803.051919
4400681.24236,474803.09394
4400680.66244,474803.155713
4400680.18011,474803.296761
4400679.69617,474803.477066
4400679.23997,474803.714286
4400678.78229,474804.008896
4400678.32674,474804.274816
4400677.82626,474804.591844
4400677.39891,474804.889124
4400676.86369,474805.082682
4400676.3274,474805.318069
4400675.79428,474805.548326
4400675.26929,474805.722357
4400674.71288,474805.609453
4400674.20363,474805.724285
4400673.63774,474805.790816
4400673.1517,474805.596475
4400672.61848,474805.631846
4400672.08656,474805.494893
4400671.53573,474805.484946
4400670.97949,474805.375612
4400670.46111,474805.340072
4400669.94449,474805.27527
4400506.18468,474801.502073
4400505.67225,474801.569495
4400505.17931,474801.676244
4400504.69141,474801.879527
4400504.13143,474802.176378
4400503.75124,474802.531216
4400503.36008,474802.849039
4400503.01462,474803.219411
4400502.59884,474803.542721
4400502.15222,474803.792828
4400501.68686,474804.00361
4400501.1822,474803.958692
4400500.64756,474803.974499
4400500.12332,474803.922663
4400499.52483,474803.778349
4400499.04663,474803.563185
4400498.59717,474803.32784
4400498.17695,474803.030483
4400497.77455,474802.656514
4400497.40443,474802.25795
4400497.15177,474801.800804
4400496.93381,474801.308507
4400496.80174,474800.799929
4400496.68417,474800.271981
4400496.67244,474799.729103
4400496.64151,474799.179738
4400496.7623,474798.672704
4400496.74831,474798.143669
4400497.01426,474797.709928
4400497.30511,474797.180608
4400497.68454,474796.831765
4400498.05299,474796.445192
4400498.49823,474796.165383
4400498.9477,474795.892012
4400499.43761,474795.751272
4400499.94409,474795.636858
4400500.45901,474795.540746
4400501.00555,474795.506133
4400501.52889,474795.553112
4400502.04631,474795.653898
4400502.54989,474795.801042
4400503.02062,474796.039312
4400503.50885,474796.299342
4400503.93634,474796.636415
4400504.31415,474797.00445
4400504.65849,474797.426916
4400504.97829,474797.828313
4400505.22601,474798.26788
4400505.58687,474798.616156
4400505.98543,474798.918296
4400506.39749,474799.221623
4400506.85706,474799.422734
4400507.35453,474799.517315
4400669.7568,474803.906451
4400670.25669,474803.881251
4400670.96068,474803.893984
4400671.4892,474803.880871
4400672.03748,474803.878959
4400672.61087,474803.892549
4400673.16788,474803.879957
4400673.66825,474803.880172
4400674.18193,474803.881287
4400674.69691,474803.879837
